Timestamp;Pos_x;Pos_y;Pos_z;Ori_x;Ori_y;Ori_z;Ori_w
2024-11-18_18-45-38558425;1.0755629539;0.6595752835;0.7552855015;0.0105921309;0.0245999396;-0.2571712136;0.9659946561
2024-11-18_18-45-43483031;1.0793617964;0.6577366590;0.7551466823;0.0115888687;0.0235838555;-0.2567306757;0.9661257267
2024-11-18_18-45-48490199;0.4202571511;0.1727606654;0.7518393993;0.0045357514;0.0115933772;0.2041493356;0.9788606167
2024-11-18_18-45-53495873;0.1435101181;0.4746290445;0.7597442865;0.0019243241;0.0532525741;-0.1440971792;0.9881277680
2024-11-18_18-45-58479560;0.1837078332;0.7907487750;0.7664848566;0.0069393054;0.0411000251;-0.0802715569;0.9959011673
2024-11-18_18-46-03470251;0.8242967725;0.3263668120;0.7532007694;0.0082060471;0.0172025133;0.2319549322;0.9725397825
2024-11-18_18-46-08523693;1.6226197481;-0.1611905545;0.7440008521;0.0015223863;-0.0111689167;0.8155127764;0.5786293149
2024-11-18_18-46-13490703;1.5099117756;-0.7133460641;0.7426261902;0.0279704127;-0.0571270585;0.4936630726;0.8673240542
2024-11-18_18-46-18466787;1.4802905321;0.1883235574;0.7477680445;0.0132217351;0.0253482088;-0.2856068015;0.9579204321
2024-11-18_18-46-23508221;1.9545221329;-0.4159875512;0.7437811494;-0.0046185246;-0.0091984263;0.8837200403;0.4679025709
2024-11-18_18-46-28487653;1.9784566164;-0.6396867037;0.7426509261;-0.0439826027;0.0040796353;0.9356645346;0.3501154184
2024-11-18_18-46-33543041;2.3141398430;-1.2810703516;0.7495613098;0.0975854099;0.0055385246;0.9876455069;-0.1224859580
2024-11-18_18-46-38502087;2.4918553829;-1.5291870832;0.7559296489;0.0623426475;0.0161553044;0.9115097523;-0.4062049687
2024-11-18_18-46-43489826;3.1639096737;-1.7180321217;0.7416452169;-0.0085274791;0.0108820628;0.8640400171;0.5032332540
2024-11-18_18-46-48505919;3.3030271530;-1.7445348501;0.7381792068;-0.0339271910;0.0111657707;0.9104135036;0.4121547639
2024-11-18_18-46-53520408;3.3032279015;-1.7451479435;0.7382184863;-0.0059547410;-0.0012167266;0.9111394286;0.4120533168
2024-11-18_18-46-58502697;2.9662744999;-1.9671170712;0.7363034487;0.0007451599;-0.0016030824;0.4964015186;0.8680912852
2024-11-18_18-47-03498657;3.3484776020;-1.5119329691;0.7409223914;-0.0198245831;0.0295369718;0.4789091349;0.8771434426
2024-11-18_18-47-08486134;3.6159186363;-1.3967353106;0.7415000200;-0.0178801604;0.0210199226;0.6296008229;0.7764285803
2024-11-18_18-47-13504370;3.8082382679;-1.7164409161;0.7379301786;-0.0059703337;-0.0048467829;0.6702364683;0.7421077490
2024-11-18_18-47-18481722;3.3224747181;-1.4686889648;0.7407462597;-0.0092015462;0.0370070674;0.1898327768;0.9810757041
2024-11-18_18-47-23486702;3.5715899467;-0.7610089183;0.7465121150;0.0142278466;0.0301927794;-0.4471099377;0.8938560486
2024-11-18_18-47-28492456;4.2600488663;-1.1712729931;0.7449762821;0.0096427901;0.0057871374;-0.9675379395;0.2524754703
2024-11-18_18-47-33496325;3.4500541687;-1.7319294214;0.7373851538;-0.0029220537;0.0106030190;-0.9890508652;0.1471648961
2024-11-18_18-47-38498740;3.4500541687;-1.7319294214;0.7373851538;-0.0029220537;0.0106030190;-0.9890508652;0.1471648961
2024-11-18_18-47-43487437;1.2155312300;-2.0852880478;0.7388112545;0.0361048542;-0.0123158470;-0.8249579072;-0.5639054775
2024-11-18_18-47-48485452;1.0229872465;-1.0830528736;0.7440765500;0.0346313678;-0.0329698622;-0.5942812562;-0.8028346300
2024-11-18_18-47-53566224;1.2596344948;-0.0640159473;0.7386825681;-0.0045240526;-0.0192951243;-0.2805467546;-0.9596357942
2024-11-18_18-47-58536320;1.1135224104;0.0283533484;0.7428849936;-0.0043613748;-0.0151638007;-0.1727592349;-0.9848377705
2024-11-18_18-48-03498947;0.9328686595;-0.0281355307;0.7434110641;-0.0028376759;-0.0229666848;-0.1692150235;-0.9853074551
2024-11-18_18-48-08498909;0.9326250553;-0.0279330555;0.7434523702;-0.0026241355;-0.0223804917;-0.1690756083;-0.9853454232
2024-11-18_18-48-13474984;0.9316412807;-0.0266970284;0.7433772087;-0.0022428696;-0.0221294406;-0.1682346612;-0.9854959845

